Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,30,2444,,TEAM 2444,0:43:21,Mixed,,Leow Yew wai,Ooi Tong,Tan Hui mey,Chew Ying zee,Heat3 4:20:00 PM,0:00:02,0:02:00,0:05:24,0:10:46,0:14:24,0:16:41,0:21:11,0:25:29,0:28:47,0:32:17,0:33:51,0:38:13,0:39:51
,31,2476,,TEAM 2476,0:43:28,Mixed,,Kit Lim,Adam Leow,Evelyn Yeoh,Shannon Low,Heat4 4:30:00 PM,0:00:03,0:02:17,0:05:44,0:10:12,0:16:40,0:23:04,0:28:38,0:31:06,0:32:27,0:34:46,0:36:35,0:41:55,0:43:28
,32,2478,,TEAM 2478,0:43:48,Mixed,,Megan Naomi Pei Ying Chin,Hen Hui Hong,Jiunn Hoong Tee,Hooi Xin (Winnie) Lau,Heat5 4:40:00 PM,0:00:02,0:01:58,0:05:13,0:09:56,0:13:55,0:15:50,0:18:36,0:22:29,0:26:27,0:38:16,0:39:42,0:42:38,0:43:48
,33,2468,,TEAM 2468,0:44:22,Mixed,,Jy chin,Tan Tau Chuien,Yoke Mui Toh,Harizal Bin Abdullah,Heat4 4:30:00 PM,0:00:03,0:02:45,0:05:58,0:11:47,0:15:36,0:17:55,0:21:53,0:26:49,0:30:24,0:36:14,0:37:48,0:41:40,0:43:11
,34,2433,,TEAM 2433,0:44:22,Mixed,,Kimberly Tan,Zhen Wei Foo,Galen Lau,Simon Yau,Heat1 4:00:00 PM,0:00:02,0:02:04,0:05:52,0:12:03,0:16:41,0:18:51,0:22:34,0:25:16,0:29:31,0:36:39,0:38:26,0:42:28,0:44:22
,35,2465,,TEAM 2465,0:44:53,Mixed,,Jen Li Lai,Syahrul Anuar Kamarulzaman,Shaun Lee,Nur Ain Kamarulzaman,Heat4 4:30:00 PM,0:00:03,0:02:06,0:06:25,0:15:15,0:19:18,0:20:49,0:24:39,0:28:43,0:32:37,0:37:55,0:39:30,0:43:29,0:44:53
,36,2474,,TEAM 2474,0:45:11,Mixed,,Bryan Wong,Warren Fernandez,Krystle Tan,Jolene Woo,Heat4 4:30:00 PM,0:00:03,0:02:53,0:07:50,0:15:15,0:18:24,0:20:03,0:24:03,0:25:52,0:28:31,0:38:01,0:39:47,0:43:40,0:45:11
,37,2459,,TEAM 2459,0:45:38,Mixed,,LEW SIAU WEI PENNY,Calvin Ong,Phei San Hannah Fu,MING EN IAN FU,Heat3 4:20:00 PM,0:00:03,0:02:07,0:05:31,0:10:58,0:15:32,0:17:09,0:21:37,0:23:46,0:25:31,0:35:52,0:37:35,0:43:21,0:45:38
,38,2462,,TEAM 2462,0:46:45,Mixed,,Marcus Chiang,Jes See Ng,KEAN Leong Tan,Rachel Tan,Heat3 4:20:00 PM,0:00:04,0:02:31,0:06:46,0:10:28,0:15:00,0:16:57,0:21:29,0:25:26,0:28:11,0:32:33,0:34:16,0:38:51,0:43:27
,39,2447,,TEAM 2447,0:47:12,Mixed,,HUZAIFAH ABD RAHIM,LIYANA ABU SAMAH,AIZREEN RADZI,MUHAMMAD AFIQ MOKHTAR,Heat2 4:10:00 PM,0:00:02,0:02:25,0:06:51,0:14:11,0:18:50,0:22:42,0:28:49,0:31:19,0:32:52,0:37:09,0:39:04,0:44:58,0:47:12
,40,2460,,TEAM 2460,0:47:36,Mixed,,Tong wai Kok,Chia Woei Keat,Chen ying Chyi,Lek Yun Than,Heat3 4:20:00 PM,0:00:03,0:02:13,0:04:49,0:09:55,0:15:03,0:17:05,0:21:47,0:24:40,0:29:40,0:39:36,0:41:04,0:45:42,0:47:36
,41,2461,,TEAM 2461,0:47:46,Mixed,,Deena N Vivegananthan,Rayburn Azhar Ali,Mohd Nazmi Agus Salim,Mawarni Fazliana Mohamad,Heat3 4:20:00 PM,0:00:04,0:02:20,0:06:19,0:14:23,0:20:06,0:22:52,0:27:06,0:30:06,0:32:41,0:38:40,0:40:21,0:45:45,0:47:46
,42,2437,,TEAM 2437,0:50:07,Mixed,,HONG CHENG HOW,JUN NAN CHEANG,KITT MEN YONG,WEN HUA CHEN,Heat1 4:00:00 PM,0:00:02,0:02:19,0:06:32,0:09:34,0:14:42,0:18:51,0:24:33,0:28:02,0:30:03,0:37:11,0:38:58,0:44:08,0:46:08
,43,2438,,TEAM 2438,0:50:20,Mixed,,Priscilla Wong Phui Ing,Brenda Lee yit ping,Fuak Chuan Chong,Seng Chin Leong,Heat1 4:00:00 PM,0:00:02,0:01:55,0:05:27,0:12:26,0:17:39,0:19:26,0:23:47,0:28:38,0:33:17,0:40:54,0:42:48,0:48:10,0:50:20
,44,2469,,TEAM 2469,0:50:48,Mixed,,yat nam yun,wan mei lim,chee keong kho,siew peng chee,Heat4 4:30:00 PM,0:00:03,0:02:33,0:06:48,0:15:07,0:19:54,0:22:31,0:26:54,0:29:21,0:31:05,0:39:29,0:41:50,0:48:00,0:50:48
,45,2457,,TEAM 2457,0:51:12,Mixed,,QISTINA NAFISAH IMAN KAMARULZAMAN,MOHD SHUKRY SAID,AHGHEELAN SELLA THURAI,AFILDHATUL NASHIMA,Heat3 4:20:00 PM,0:00:02,0:02:42,0:07:30,0:14:09,0:20:05,0:23:50,0:28:54,0:32:11,0:35:05,0:41:14,0:42:56,0:47:48,0:49:51
,46,2455,,TEAM 2455,0:52:07,Mixed,,Yean Ho,Kent Sun,Pei Yin Yeong,Edward Poh,Heat3 4:20:00 PM,0:00:03,0:02:09,0:05:42,0:10:35,0:17:18,0:21:41,0:27:15,0:32:27,0:35:20,0:39:56,0:41:58,0:49:15,0:52:07
,47,2466,,TEAM 2466,0:52:21,Mixed,,Hema Vadivelu,Thaddeus Chung,Raanita Krishnamoorthy,Amirhossein Mehbodniya,Heat4 4:30:00 PM,0:00:04,0:02:34,0:06:21,0:16:49,0:21:55,0:26:04,0:31:13,0:34:15,0:36:43,0:43:11,0:45:15,0:50:10,0:51:48
,48,2472,,TEAM 2472,0:54:38,Mixed,,Sheriffa Olfah,Faira Hafeeza,Syed Omar,Surendren Sivaraj,Heat4 4:30:00 PM,0:00:03,0:02:38,0:06:21,0:15:32,0:18:48,0:20:46,0:25:13,0:30:34,0:36:58,0:46:32,0:48:03,0:52:45,0:54:38
,49,2443,,TEAM 2443,0:56:58,Mixed,,Hong Yaw Lim,Theresa Kok,Wong Kit Chin,Sow Keng Foo,Heat2 4:10:00 PM,0:00:02,0:02:10,0:06:01,0:13:39,0:17:36,0:20:02,0:24:49,0:29:46,0:33:19,0:49:28,0:51:05,0:54:58,0:56:58
,50,2445,,TEAM 2445,1:00:44,Mixed,,Syed Ahmad Fuad Bin Syed Mohamed,Jumsari Misnan,Jane Mojulat,Nur Izzati Bt Radzuan,Heat3 4:20:00 PM,0:00:03,0:02:18,0:06:40,0:15:01,0:19:29,0:24:20,0:29:06,0:32:12,0:37:02,0:51:00,0:52:51,0:57:52,1:00:44
,51,2450,,TEAM 2450,1:02:40,Mixed,,Kobee Ng,Wen Han Ho,Beng Kwan Liaw (Jason),Jiau Lin Tan,Heat2 4:10:00 PM,0:00:03,0:02:25,0:05:10,0:11:15,0:20:49,0:24:33,0:29:36,0:35:49,0:40:09,0:53:25,0:55:01,1:00:44,1:02:40
,52,2464,,TEAM 2464,1:11:40,Mixed,,Nabil Bin Attar,Nana Zulkiffi,Samantha Geh,Alson Tan,Heat3 4:20:00 PM,0:00:03,0:01:53,0:04:51,0:08:25,0:23:23,0:37:11,0:42:48,0:48:13,0:52:18,1:03:31,1:04:58,1:09:47,1:11:40
