Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,74,401,,CAVAN TAN,0:55:13,30 - 39,44,Male,Heat7 4:30:00 PM,0:00:04,0:02:49,0:05:42,0:11:18,0:20:15,0:23:44,0:27:44,0:32:58,0:39:25,0:43:27,0:45:55,0:49:54,0:52:14
,75,468,,KENNY HIEW JIAN ZHONG,0:55:13,30 - 39,45,Male,Heat12 5:20:00 PM,0:00:03,0:02:21,0:05:21,0:09:42,0:18:56,0:22:18,0:27:14,0:31:30,0:38:59,0:46:29,0:49:00,0:53:28,0:55:13
,76,359,,CHEE WAI LEONG,0:55:34,18 - 29,22,Male,Heat4 4:00:00 PM,0:00:02,0:01:56,0:04:24,0:08:52,0:15:32,0:18:38,0:23:15,0:28:35,0:35:36,0:46:26,0:48:35,0:53:51,0:55:34
,77,470,,NERIC HUE,0:55:36,18 - 29,23,Male,Heat12 5:20:00 PM,0:00:02,0:02:15,0:04:52,0:08:22,0:23:19,0:25:44,0:29:26,0:35:28,0:43:20,0:47:30,0:49:28,0:53:55,0:55:36
,78,391,,JOHN CHAI,0:56:32,30 - 39,46,Male,Heat6 4:20:00 PM,0:00:06,0:02:08,0:05:05,0:09:43,0:17:57,0:22:20,0:26:53,0:30:39,0:38:58,0:47:45,0:50:14,0:54:34,0:56:32
,79,431,,YAP THIAN HUANG,0:57:05,30 - 39,47,Male,Heat9 4:50:00 PM,0:00:02,0:01:57,0:04:02,0:08:24,0:16:51,0:21:36,0:25:52,0:32:13,0:38:38,0:47:29,0:51:03,0:55:06,0:57:05
,80,407,,ALI ROSLI,0:57:09,40+,10,Male,Heat8 4:40:00 PM,0:00:04,0:02:21,0:04:47,0:09:32,0:19:57,0:23:22,0:27:51,0:33:27,0:39:31,0:47:27,0:50:32,0:55:03,0:57:09
,81,135,,SCOTT ASHLEY,0:57:19,18 - 29,24,Male,Heat12 5:20:00 PM,0:00:01,0:01:52,0:04:57,0:10:01,0:20:00,0:23:23,0:28:53,0:36:37,0:44:06,0:48:19,0:50:44,0:55:27,0:57:19
,82,456,,CHARLES TEE,0:57:22,40+,11,Male,Heat11 5:10:00 PM,0:00:03,0:02:22,0:06:06,0:10:40,0:20:48,0:24:36,0:29:18,0:36:31,0:42:39,0:48:40,0:51:16,0:55:33,0:57:22
,83,421,,M. SHAZREE SHAFIQ ABD HAMID,0:57:45,18 - 29,25,Male,Heat9 4:50:00 PM,0:00:04,0:02:34,0:05:51,0:11:29,0:21:47,0:25:49,0:29:45,0:35:11,0:42:03,0:49:46,0:52:04,0:56:00,0:57:45
